Order_Hour,Day_of_Week,Is_Weekend,Is_Festival,Weather,Pickup_Zone,Dropoff_Zone,Vehicle_Type,Rider_Experience_Years,Rider_Rating,Restaurant_Rating,Cuisine_Type,Order_Items,Restaurant_Load,Preparation_Time_Min,Road_Distance_km,Delivery_Distance_Category,Traffic_Level,Number_of_Signals,Average_Speed_kmph,Delivery_Priority,Time_taken_min
11,Monday,0,0,Clear,Industrial,Residential,Bike,4.5,4.2,4.1,Burger,3,High,21,22.67,Long,Low,8,43.9,Priority,50
16,Sunday,1,0,Clear,Residential,Commercial,Scooter,2.8,3.6,4.2,North Indian,4,Medium,32,29.01,Long,Low,10,35.0,Normal,83
9,Thursday,0,0,Clear,Residential,Industrial,Bike,7.2,3.9,4.0,Desserts,1,Low,5,15.18,Long,Low,9,45.0,Normal,33
19,Wednesday,0,0,Clear,Industrial,CBD,Electric Scooter,0.4,3.5,4.3,Burger,1,Low,10,47.46,Long,Low,4,30.1,Normal,106
9,Saturday,1,0,Clear,CBD,Suburban,Bicycle,6.3,3.9,3.8,Burger,1,Medium,15,19.61,Long,High,14,11.1,Priority,125
16,Monday,0,0,Clear,Residential,Commercial,Electric Scooter,1.8,3.7,4.0,Biryani,3,Medium,31,23.32,Long,Low,9,30.5,Normal,79
20,Wednesday,0,0,Cloudy,CBD,Commercial,Bike,3.6,4.0,4.1,Pizza,4,High,33,18.89,Long,Moderate,15,34.6,Priority,68
21,Thursday,0,0,Rain,CBD,Suburban,Bike,8.8,4.3,4.2,North Indian,1,Medium,24,20.05,Long,High,16,24.4,Normal,91
11,Monday,0,0,Clear,CBD,Commercial,Bike,4.6,3.6,5.0,Biryani,2,Low,29,7.93,Long,Low,15,43.9,Normal,43
11,Wednesday,0,0,Rain,Residential,Commercial,Bike,5.9,4.0,4.4,South Indian,1,High,21,21.97,Long,Low,10,36.5,Normal,65
8,Sunday,1,0,Cloudy,Residential,Commercial,Scooter,2.3,3.7,3.9,Cafe,4,High,20,15.44,Long,Moderate,10,27.7,Normal,58
13,Monday,0,0,Fog,Residential,Suburban,Scooter,6.6,4.2,4.3,North Indian,2,Low,27,18.59,Long,Low,9,31.9,Normal,61
20,Wednesday,0,0,Rain,Residential,CBD,Bike,6.1,4.2,4.4,Pizza,2,High,28,43.53,Long,Moderate,7,30.0,Normal,125
2,Monday,0,0,Cloudy,Industrial,Suburban,Bicycle,10.1,4.4,3.8,South Indian,1,Medium,16,10.83,Long,Low,4,17.1,Normal,56
14,Monday,0,0,Fog,Industrial,Industrial,Bike,1.1,3.8,3.4,North Indian,3,Low,31,30.11,Long,Low,6,37.4,Normal,80
20,Tuesday,0,0,Clear,CBD,Residential,Bike,4.1,3.5,3.9,Biryani,5,High,41,25.22,Long,Moderate,15,35.9,Normal,90
13,Sunday,1,0,Rain,Commercial,Commercial,Scooter,2.5,3.6,3.8,Cafe,5,Medium,19,40.46,Long,Moderate,13,23.4,Normal,128
16,Friday,0,1,Clear,Industrial,Residential,Bike,6.3,4.1,3.6,Biryani,1,High,37,22.24,Long,Low,7,44.6,Normal,72
21,Wednesday,0,0,Rain,Commercial,Commercial,Scooter,7.1,4.1,4.4,Biryani,1,High,36,37.74,Long,Moderate,13,24.5,Priority,137
20,Thursday,0,0,Rain,Industrial,Suburban,Bike,1.8,3.8,4.1,Burger,2,High,19,9.11,Long,Moderate,5,28.7,Normal,39
19,Sunday,1,0,Rain,Commercial,CBD,Electric Scooter,6.1,3.8,4.0,Desserts,4,High,19,14.19,Long,High,10,17.0,VIP,78
15,Saturday,1,0,Fog,Residential,CBD,Electric Scooter,5.1,4.3,4.2,North Indian,1,Low,27,21.18,Long,Low,10,27.7,Normal,76
10,Saturday,1,0,Fog,Commercial,Residential,Electric Scooter,5.7,4.1,3.8,Pizza,2,High,24,50.62,Long,Moderate,11,22.9,Normal,163
18,Wednesday,0,0,Clear,Residential,Commercial,Electric Scooter,5.4,4.2,3.9,South Indian,1,Low,16,19.61,Long,Low,10,31.6,Normal,60
13,Monday,0,0,Clear,Residential,CBD,Bike,6.2,4.1,3.9,Pizza,2,High,28,26.37,Long,Low,6,44.6,Normal,68
20,Saturday,1,0,Rain,Residential,Industrial,Electric Scooter,7.5,4.0,4.1,Burger,2,Medium,16,38.55,Long,High,6,17.2,Normal,155
14,Thursday,0,0,Cloudy,Industrial,Suburban,Scooter,5.0,4.1,3.8,South Indian,2,Medium,23,20.33,Long,Low,4,34.6,Priority,59
21,Friday,0,0,Rain,Industrial,Residential,Bike,2.8,3.9,3.4,North Indian,1,Low,24,22.34,Long,Moderate,8,29.0,Normal,78
20,Thursday,0,0,Cloudy,Commercial,Commercial,Bike,7.3,4.5,4.1,Desserts,3,Medium,11,38.4,Long,Low,13,43.7,Normal,65
19,Tuesday,0,0,Clear,CBD,CBD,Electric Scooter,1.7,4.0,4.1,Pizza,2,Low,19,36.38,Long,Moderate,15,25.0,Normal,117
13,Sunday,1,0,Clear,Commercial,Commercial,Bike,8.5,4.6,4.2,Burger,3,Low,11,24.0,Long,Low,10,45.6,Normal,44
16,Tuesday,0,0,Clear,Residential,Suburban,Electric Scooter,5.9,4.1,4.2,South Indian,4,Low,22,24.77,Long,Low,10,31.8,Normal,72
10,Saturday,1,1,Clear,Industrial,Residential,Scooter,2.0,3.9,4.5,Pizza,2,High,30,8.67,Long,High,8,22.5,Normal,63
2,Friday,0,1,Fog,Commercial,Suburban,Scooter,9.7,4.1,4.4,Pizza,6,High,42,40.12,Long,Low,14,32.8,Priority,124
16,Wednesday,0,0,Rain,CBD,Residential,Electric Scooter,3.1,3.9,3.6,Burger,3,High,18,14.5,Long,Moderate,16,20.8,Normal,69
15,Friday,0,0,Cloudy,Commercial,Residential,Bicycle,5.2,3.8,3.9,Biryani,5,High,44,1.66,Short,Low,14,16.3,Normal,59
16,Sunday,1,0,Rain,Industrial,CBD,Electric Scooter,6.2,4.0,4.2,Desserts,2,Medium,11,12.65,Long,Moderate,8,21.4,Normal,55
19,Friday,0,0,Cloudy,Commercial,Residential,Scooter,3.6,3.6,3.8,Pizza,4,Medium,30,22.2,Long,Low,10,34.2,Normal,77
2,Thursday,0,0,Clear,Commercial,Industrial,Bike,4.9,4.2,4.7,Pizza,6,Medium,36,35.67,Long,Low,13,44.1,Normal,92
17,Friday,0,0,Clear,Commercial,Suburban,Bike,2.3,3.6,4.3,Chinese,3,High,29,30.34,Long,Low,10,43.0,Normal,73
6,Tuesday,0,0,Cloudy,Suburban,Commercial,Scooter,1.4,3.3,3.6,South Indian,4,High,28,16.13,Long,Low,4,33.4,Normal,56
17,Monday,0,0,Clear,Residential,Industrial,Electric Scooter,6.3,4.0,4.3,Biryani,5,Low,34,38.19,Long,Low,7,31.9,Normal,111
8,Monday,0,0,Rain,Residential,Suburban,Bicycle,9.0,4.7,4.6,Chinese,2,Low,19,39.41,Long,Moderate,10,11.7,Normal,180
21,Friday,0,0,Clear,Residential,Commercial,Scooter,5.7,3.9,4.0,Pizza,4,High,33,22.15,Long,Low,10,35.9,Normal,75
20,Monday,0,0,Clear,Commercial,Residential,Scooter,1.0,3.7,4.1,North Indian,2,Low,22,8.75,Long,Low,13,34.3,Normal,48
23,Monday,0,0,Rain,CBD,Industrial,Bike,5.7,4.0,4.3,Chinese,1,Low,19,8.55,Long,Moderate,18,29.9,Normal,44
12,Tuesday,0,0,Cloudy,Suburban,Commercial,Bike,5.6,3.8,3.6,Chinese,2,Medium,22,14.87,Long,Low,5,43.0,Normal,43
12,Friday,0,0,Cloudy,CBD,CBD,Bike,2.5,4.2,4.2,Chinese,3,Medium,25,14.38,Long,Low,18,41.8,Normal,52
22,Monday,0,0,Clear,CBD,Suburban,Bicycle,2.9,3.6,4.3,Biryani,4,Medium,36,24.04,Long,Low,17,16.5,Normal,135
8,Sunday,1,0,Fog,Suburban,Industrial,Bike,4.0,4.2,3.8,Bakery,6,Medium,21,6.22,Medium,Moderate,6,31.5,Normal,38
17,Monday,0,0,Clear,Residential,Commercial,Bike,5.9,4.0,4.2,Desserts,1,Low,8,16.19,Long,Low,8,44.5,Priority,33
8,Tuesday,0,0,Clear,Residential,Suburban,Bike,3.6,3.8,4.0,Pizza,2,High,29,16.73,Long,Low,8,43.5,Normal,58
6,Wednesday,0,0,Rain,CBD,Residential,Bike,2.9,3.7,4.4,Pizza,2,Low,21,35.23,Long,Moderate,14,29.1,Normal,107
12,Saturday,1,0,Clear,Suburban,CBD,Electric Scooter,2.5,3.9,4.2,North Indian,3,High,35,17.78,Long,Low,2,30.7,VIP,70
18,Friday,0,0,Cloudy,Industrial,Industrial,Scooter,4.7,3.9,4.0,Cafe,3,Medium,16,27.6,Long,Low,5,34.5,Normal,65
12,Friday,0,0,Storm,Suburban,Residential,Bike,2.0,4.1,4.5,Chinese,3,Medium,25,23.79,Long,Low,6,29.1,Normal,77
12,Wednesday,0,0,Clear,Commercial,Residential,Bike,2.8,3.8,4.2,South Indian,3,High,28,9.9,Long,Low,14,43.2,Normal,46
18,Tuesday,0,0,Clear,Residential,Residential,Scooter,1.8,4.0,4.4,Chinese,3,Low,19,6.66,Medium,Low,8,34.6,Normal,33
6,Friday,0,0,Clear,Residential,Commercial,Scooter,0.2,3.7,4.1,Burger,2,Medium,14,42.07,Long,Low,10,34.1,Normal,89
21,Wednesday,0,0,Fog,Commercial,Residential,Scooter,1.3,4.0,4.7,North Indian,5,Medium,34,36.45,Long,Low,12,30.3,Normal,112
20,Friday,0,0,Cloudy,CBD,Commercial,Electric Scooter,4.2,4.1,3.9,Biryani,1,High,36,25.11,Long,Moderate,15,24.9,Normal,102
5,Sunday,1,0,Clear,Commercial,Commercial,Electric Scooter,3.7,3.7,3.5,Biryani,4,Medium,35,32.89,Long,Low,10,31.1,Normal,105
12,Thursday,0,0,Cloudy,Suburban,CBD,Bike,3.4,3.9,5.0,Biryani,5,Medium,40,54.94,Long,Low,4,42.1,Normal,122
18,Monday,0,0,Rain,Residential,Commercial,Electric Scooter,3.8,3.8,4.6,Cafe,4,Medium,16,41.13,Long,Moderate,6,20.9,Normal,140
7,Saturday,1,0,Clear,Residential,Commercial,Bike,6.9,4.1,3.3,Biryani,6,Medium,41,20.99,Long,Low,7,44.9,Normal,71
5,Saturday,1,0,Clear,Residential,CBD,Scooter,2.1,3.9,4.3,South Indian,1,Low,11,14.96,Long,Low,7,34.7,Priority,37
21,Friday,0,0,Clear,Residential,CBD,Bicycle,2.2,4.0,4.1,Biryani,2,Low,29,23.67,Long,Low,9,16.4,Normal,118
20,Saturday,1,0,Storm,Suburban,CBD,Electric Scooter,3.9,3.9,4.3,South Indian,3,Low,20,11.84,Long,High,2,13.8,Normal,77
4,Monday,0,0,Clear,Residential,Residential,Bicycle,1.5,3.9,4.6,Chinese,3,Low,19,14.54,Long,Low,6,16.2,Normal,76
19,Tuesday,0,0,Clear,Industrial,Commercial,Bike,3.6,4.1,4.1,Bakery,5,Medium,15,42.17,Long,Low,8,43.5,Normal,71
12,Friday,0,0,Clear,Residential,Residential,Scooter,9.8,4.3,4.4,North Indian,2,Low,26,34.74,Long,Low,9,37.3,Normal,85
19,Tuesday,0,0,Clear,Commercial,Industrial,Scooter,5.6,4.2,4.5,Pizza,1,Medium,22,28.51,Long,Low,10,35.9,VIP,77
9,Wednesday,0,0,Rain,CBD,Residential,Scooter,1.6,3.7,5.0,Biryani,4,Low,31,9.48,Long,High,15,18.4,Priority,73
11,Thursday,0,0,Cloudy,Residential,Commercial,Bike,6.9,4.3,3.9,Pizza,2,High,26,17.48,Long,Low,9,43.6,Normal,53
13,Thursday,0,0,Fog,Residential,Residential,Bike,4.9,3.6,4.1,Burger,2,Medium,15,6.53,Medium,Low,8,38.8,Normal,29
18,Thursday,0,0,Cloudy,CBD,CBD,Scooter,1.5,3.6,4.1,South Indian,4,Low,23,64.69,Long,Moderate,17,27.4,Normal,174
11,Thursday,0,1,Cloudy,Commercial,Residential,Bike,4.1,4.0,4.1,Burger,2,Medium,13,25.04,Long,Low,13,42.4,Normal,54
14,Monday,0,0,Rain,CBD,Suburban,Electric Scooter,5.1,4.3,3.8,South Indian,2,Low,20,6.58,Medium,Moderate,17,21.2,Normal,52
5,Thursday,0,0,Storm,CBD,Industrial,Bike,4.4,3.9,4.2,North Indian,5,High,37,25.39,Long,Moderate,16,24.4,Priority,108
21,Saturday,1,0,Cloudy,Industrial,Residential,Electric Scooter,3.9,3.9,3.8,Chinese,4,High,27,42.92,Long,Moderate,6,24.8,Priority,131
11,Friday,0,0,Cloudy,Commercial,CBD,Scooter,3.6,3.6,3.8,Biryani,2,Low,33,11.03,Long,Low,12,34.2,Normal,61
10,Wednesday,0,0,Cloudy,Industrial,Residential,Electric Scooter,2.9,3.8,3.8,South Indian,2,Medium,20,34.28,Long,Low,8,29.9,Priority,94
19,Saturday,1,1,Clear,Commercial,Industrial,Bicycle,2.9,3.6,4.1,Cafe,2,High,16,26.05,Long,High,12,10.7,Normal,173
19,Thursday,0,0,Cloudy,CBD,Residential,Scooter,0.1,3.6,4.6,South Indian,3,Low,19,31.28,Long,Moderate,16,27.1,Priority,97
12,Tuesday,0,0,Cloudy,Suburban,Commercial,Bike,8.7,4.5,4.5,South Indian,4,Low,25,31.53,Long,Low,6,44.3,Priority,72
21,Thursday,0,0,Cloudy,Industrial,CBD,Scooter,1.8,3.6,3.8,North Indian,1,High,32,6.19,Medium,Low,7,33.6,Normal,45
7,Monday,0,0,Clear,Residential,Commercial,Bike,2.8,3.9,3.4,Bakery,5,High,22,16.14,Long,Low,7,43.2,Normal,47
12,Saturday,1,0,Clear,Residential,Commercial,Bike,3.2,4.0,3.9,Burger,4,Medium,16,39.44,Long,Low,7,43.3,Priority,73
6,Tuesday,0,0,Cloudy,Industrial,Suburban,Bike,2.7,4.0,4.5,North Indian,1,Low,26,30.57,Long,Low,8,41.8,Priority,75
18,Friday,0,0,Fog,Commercial,CBD,Electric Scooter,4.1,4.0,3.4,Burger,3,Medium,17,16.3,Long,Low,13,27.5,Normal,63
20,Monday,0,0,Clear,Industrial,Suburban,Electric Scooter,5.1,4.1,3.9,Burger,1,High,18,16.34,Long,Low,6,31.5,Normal,55
18,Sunday,1,0,Rain,Residential,Commercial,Scooter,1.7,3.8,3.4,Bakery,3,High,18,15.4,Long,High,6,18.4,Normal,71
20,Thursday,0,0,Clear,Suburban,Residential,Bike,9.1,4.5,3.6,North Indian,4,Low,27,4.71,Medium,Low,2,45.8,Normal,35
17,Wednesday,0,0,Rain,Residential,Industrial,Scooter,2.5,3.6,3.9,Burger,2,High,21,14.73,Long,Low,10,28.6,VIP,57
1,Friday,0,0,Cloudy,CBD,Industrial,Bike,4.1,3.5,3.8,Burger,3,Medium,13,25.43,Long,Low,17,42.4,Normal,59
14,Friday,0,0,Clear,Suburban,CBD,Scooter,0.9,3.9,4.2,North Indian,3,Medium,34,40.08,Long,Low,5,34.3,Normal,108
12,Friday,0,0,Clear,Residential,CBD,Bike,1.6,4.0,3.5,Burger,5,Medium,21,13.94,Long,Low,6,42.7,Priority,45
22,Friday,0,0,Clear,Commercial,Residential,Bike,5.5,4.0,3.6,Burger,2,Medium,15,42.17,Long,Low,13,44.3,Normal,75
19,Monday,0,0,Storm,CBD,Suburban,Bike,2.4,3.3,4.3,Chinese,1,Low,19,37.14,Long,High,15,19.0,Normal,152
20,Monday,0,0,Storm,CBD,CBD,Bicycle,12.4,4.3,4.5,Chinese,5,High,29,42.55,Long,High,14,8.0,Normal,180
18,Saturday,1,0,Cloudy,Suburban,Residential,Scooter,7.6,4.1,3.6,South Indian,7,High,33,10.59,Long,Moderate,6,29.1,Normal,60
11,Thursday,0,0,Clear,Residential,CBD,Bicycle,1.4,3.7,4.3,Chinese,1,Low,16,19.33,Long,Low,6,16.2,Normal,94
21,Thursday,0,0,Fog,Suburban,Suburban,Bike,4.7,3.9,4.2,Pizza,1,Medium,19,31.33,Long,Low,6,38.7,Normal,71
20,Sunday,1,0,Clear,CBD,Residential,Electric Scooter,3.5,4.1,4.3,Pizza,1,Medium,24,31.21,Long,High,14,20.2,Priority,125
12,Monday,0,1,Clear,Suburban,Commercial,Scooter,2.0,3.7,3.6,North Indian,1,Low,23,24.81,Long,Low,3,34.7,Normal,70
21,Saturday,1,0,Clear,Industrial,Residential,Scooter,3.2,4.0,3.8,South Indian,3,Medium,22,44.5,Long,Moderate,5,28.8,Priority,113
12,Saturday,1,0,Clear,Residential,Suburban,Scooter,1.4,3.6,4.6,South Indian,1,Low,17,34.35,Long,Low,6,34.5,Normal,80
18,Friday,0,0,Fog,CBD,Commercial,Bike,4.2,4.0,4.4,Pizza,4,Low,25,4.11,Medium,Moderate,16,31.6,Normal,46
18,Sunday,1,0,Clear,CBD,Industrial,Scooter,0.9,3.7,3.9,Biryani,1,High,34,25.48,Long,High,14,22.3,Normal,112
9,Monday,0,0,Rain,Residential,Suburban,Scooter,5.7,3.9,3.9,Pizza,1,Medium,25,39.96,Long,Moderate,7,24.2,Normal,130
23,Saturday,1,0,Clear,CBD,Residential,Bike,6.1,4.0,3.8,South Indian,1,Low,18,27.0,Long,Moderate,15,36.5,Priority,67
19,Wednesday,0,0,Cloudy,CBD,Commercial,Bike,5.5,4.4,3.8,South Indian,3,Medium,24,54.68,Long,Moderate,17,35.2,Normal,131
20,Wednesday,0,0,Fog,CBD,Commercial,Electric Scooter,3.2,3.8,4.4,Pizza,7,Low,33,29.42,Long,Moderate,18,22.3,Normal,121
12,Tuesday,0,0,Storm,CBD,Commercial,Bike,4.2,3.6,3.6,Biryani,3,Medium,34,18.01,Long,Moderate,17,24.4,Normal,90
22,Wednesday,0,0,Clear,Commercial,Industrial,Electric Scooter,10.9,4.5,4.4,South Indian,2,Low,19,34.83,Long,Low,12,33.3,Normal,83
13,Monday,0,0,Rain,CBD,Residential,Scooter,4.8,4.1,4.4,Pizza,5,Low,28,18.13,Long,Moderate,14,24.0,Normal,83
12,Thursday,0,0,Cloudy,CBD,Residential,Electric Scooter,2.3,4.1,4.5,Chinese,3,High,30,33.95,Long,Low,17,29.8,Priority,104
11,Sunday,1,0,Rain,CBD,Residential,Bike,4.1,3.6,3.8,South Indian,2,Low,20,42.79,Long,High,16,23.3,Priority,134
16,Sunday,1,0,Cloudy,Residential,Residential,Bike,4.5,4.2,4.2,Chinese,6,Medium,34,4.03,Medium,Low,6,42.6,Priority,43
19,Sunday,1,0,Cloudy,CBD,Residential,Bike,2.2,3.8,4.1,South Indian,4,Low,21,42.31,Long,High,17,27.1,Priority,122
20,Sunday,1,0,Clear,Residential,Commercial,Bicycle,1.2,3.7,4.4,North Indian,3,Low,26,31.98,Long,Moderate,7,13.3,Normal,180
16,Friday,0,0,Cloudy,CBD,Commercial,Bike,2.8,3.8,4.0,Biryani,2,High,34,15.25,Long,Low,15,41.9,Normal,69
10,Sunday,1,0,Clear,CBD,Commercial,Scooter,7.1,4.1,4.2,Chinese,2,Medium,22,12.71,Long,High,15,23.7,Normal,61
3,Friday,0,0,Clear,Commercial,CBD,Scooter,1.0,3.6,4.7,North Indian,4,Medium,33,31.42,Long,Low,14,34.3,VIP,93
20,Thursday,0,0,Storm,Commercial,CBD,Bike,0.4,3.4,4.4,North Indian,7,Medium,38,7.42,Long,Moderate,11,23.5,Normal,67
6,Wednesday,0,0,Clear,Suburban,Industrial,Bike,3.9,3.8,4.2,North Indian,2,Low,24,24.79,Long,Low,4,43.6,Normal,56
10,Sunday,1,0,Clear,Industrial,Industrial,Bicycle,0.7,3.9,4.8,Chinese,4,Medium,26,7.77,Long,Moderate,6,13.2,Priority,64
7,Friday,0,0,Cloudy,Industrial,Residential,Bike,5.8,4.3,4.1,South Indian,2,Low,22,20.61,Long,Low,5,43.1,Priority,48
13,Wednesday,0,0,Cloudy,CBD,Residential,Electric Scooter,1.2,4.0,4.6,South Indian,6,Low,29,26.16,Long,Low,15,29.4,Normal,91
21,Thursday,0,0,Fog,Commercial,Commercial,Bike,6.7,4.3,4.2,Cafe,2,Medium,14,3.83,Medium,Low,12,39.4,Normal,29
20,Friday,0,0,Rain,Industrial,Commercial,Bicycle,1.7,3.8,4.0,North Indian,1,Medium,25,23.81,Long,Moderate,8,10.9,Normal,165
13,Friday,0,0,Clear,CBD,Residential,Bike,6.2,3.9,4.8,Pizza,2,Medium,26,23.57,Long,Low,16,44.6,Priority,66
19,Tuesday,0,0,Clear,Suburban,CBD,Scooter,1.7,3.4,4.3,South Indian,4,Low,21,11.62,Long,Low,6,34.6,Normal,46
9,Thursday,0,0,Clear,Industrial,Industrial,Electric Scooter,9.1,4.2,3.8,Burger,7,Medium,25,32.6,Long,Low,8,32.7,Normal,90
20,Sunday,1,0,Clear,Commercial,Commercial,Bike,2.4,3.6,4.6,Cafe,1,High,15,35.29,Long,Moderate,13,35.3,Normal,80
7,Wednesday,0,0,Rain,CBD,Residential,Electric Scooter,9.2,4.4,4.2,Biryani,1,Low,29,30.29,Long,Moderate,17,22.0,Normal,123
18,Sunday,1,0,Rain,Residential,Residential,Bike,7.3,4.1,4.6,Cafe,2,Medium,11,38.14,Long,High,8,24.0,VIP,111
4,Thursday,0,0,Clear,CBD,CBD,Bike,3.2,4.0,4.3,Chinese,2,High,24,6.2,Medium,Low,18,43.3,Normal,38
13,Tuesday,0,0,Clear,Residential,Residential,Bike,5.5,3.7,4.4,Chinese,1,Low,18,17.96,Long,Low,10,44.3,Normal,52
10,Sunday,1,0,Cloudy,Residential,Commercial,Bicycle,1.5,4.0,4.3,North Indian,3,High,31,31.75,Long,Moderate,6,12.9,Normal,180
18,Sunday,1,0,Fog,Residential,Industrial,Bike,7.1,4.3,4.4,Bakery,1,High,11,21.96,Long,Moderate,10,32.5,Priority,54
23,Thursday,0,0,Clear,Suburban,Residential,Bike,5.2,4.0,4.2,South Indian,3,High,30,2.53,Short,Low,5,44.2,Normal,34
12,Monday,0,0,Clear,CBD,Commercial,Scooter,0.2,3.7,4.8,Pizza,3,Medium,26,22.04,Long,Low,15,34.1,Normal,73
21,Thursday,0,0,Cloudy,Residential,Commercial,Bike,2.6,3.8,4.4,Bakery,1,Low,7,43.96,Long,Low,10,41.8,Priority,76
17,Wednesday,0,0,Clear,Industrial,Residential,Bike,0.6,3.5,4.3,Biryani,1,Low,25,32.88,Long,Low,7,42.3,Priority,74
20,Monday,0,0,Cloudy,Residential,Residential,Bicycle,5.4,4.4,4.7,Pizza,1,Medium,25,33.19,Long,Low,8,16.4,Normal,146
12,Sunday,1,0,Rain,Residential,Suburban,Scooter,3.1,4.2,4.4,North Indian,2,Low,22,47.7,Long,Moderate,10,23.6,Normal,150
14,Saturday,1,0,Clear,Industrial,Industrial,Scooter,3.0,4.0,4.1,Burger,4,Medium,18,15.58,Long,Low,8,35.0,Normal,47
6,Tuesday,0,0,Cloudy,Commercial,Commercial,Electric Scooter,2.5,3.9,4.3,Biryani,1,Medium,33,27.59,Long,Low,14,29.8,Normal,95
9,Saturday,1,0,Fog,Residential,Residential,Electric Scooter,1.4,3.9,4.4,North Indian,1,Low,26,44.41,Long,Moderate,6,22.0,Priority,149
7,Saturday,1,0,Clear,Commercial,Commercial,Scooter,5.5,3.9,4.0,Desserts,7,High,26,33.89,Long,Low,11,35.9,Normal,88
15,Saturday,1,0,Fog,Residential,CBD,Electric Scooter,3.1,3.9,4.0,Pizza,7,High,37,22.15,Long,Low,10,27.2,Normal,91
9,Sunday,1,0,Clear,Residential,Residential,Scooter,5.4,4.0,3.3,Biryani,2,Medium,34,12.42,Long,Moderate,6,29.4,Normal,61
20,Friday,0,0,Clear,CBD,Residential,Scooter,3.0,3.8,4.0,Cafe,2,Medium,11,28.01,Long,Moderate,17,28.7,Priority,77
15,Wednesday,0,0,Cloudy,Residential,Industrial,Bike,10.3,4.6,4.4,Biryani,1,High,34,42.99,Long,Low,7,44.9,Priority,94
12,Sunday,1,0,Clear,Industrial,Commercial,Electric Scooter,8.4,4.4,4.1,Biryani,1,Low,27,32.81,Long,Low,4,32.5,Priority,89
5,Wednesday,0,0,Clear,Commercial,Suburban,Scooter,1.6,3.5,3.8,Biryani,2,Low,27,33.52,Long,Low,10,34.5,Normal,92
13,Wednesday,0,0,Clear,Suburban,Residential,Scooter,5.2,4.0,4.3,Chinese,1,Medium,20,38.8,Long,Low,2,35.8,Priority,86
13,Sunday,1,0,Clear,Residential,Industrial,Scooter,4.5,4.0,4.3,North Indian,1,Low,24,24.5,Long,Low,7,35.5,Normal,69
7,Thursday,0,0,Clear,CBD,CBD,Bicycle,9.0,4.7,4.1,North Indian,2,Medium,30,19.5,Long,Low,18,17.4,Priority,108
20,Thursday,0,0,Rain,Suburban,Suburban,Bike,5.4,4.2,4.2,North Indian,6,High,38,16.48,Long,Moderate,5,29.8,Normal,74
6,Saturday,1,0,Clear,Commercial,Suburban,Scooter,5.3,4.1,4.0,Pizza,2,Low,23,35.44,Long,Low,12,35.8,VIP,86
8,Wednesday,0,0,Clear,Commercial,CBD,Bike,6.9,4.2,4.1,Desserts,4,Medium,16,17.91,Long,Low,10,44.9,VIP,43
13,Thursday,0,0,Fog,Residential,CBD,Electric Scooter,1.9,3.6,4.5,Chinese,1,Medium,19,14.68,Long,Low,8,26.9,Normal,55
20,Sunday,1,0,Clear,Residential,Suburban,Bike,1.6,3.6,4.4,Chinese,1,Low,19,20.23,Long,Moderate,7,35.0,Priority,54
8,Tuesday,0,0,Clear,Commercial,Commercial,Bike,4.1,3.5,3.8,Bakery,1,Medium,9,48.72,Long,Low,11,43.7,Normal,79
18,Thursday,0,0,Rain,Suburban,Industrial,Electric Scooter,3.3,3.9,4.2,North Indian,4,Medium,33,25.03,Long,Moderate,4,20.8,Normal,107
8,Monday,0,0,Rain,Commercial,Residential,Scooter,2.2,3.7,3.8,Pizza,2,Medium,22,50.18,Long,Moderate,10,23.4,Normal,160
13,Sunday,1,0,Rain,Suburban,CBD,Scooter,5.3,3.9,4.6,Pizza,5,Low,28,16.55,Long,Moderate,6,24.1,Priority,70
16,Thursday,0,0,Cloudy,Residential,Residential,Scooter,1.7,3.4,4.0,Desserts,5,Low,14,46.4,Long,Low,9,33.5,Normal,102
11,Sunday,1,0,Cloudy,Commercial,Industrial,Bike,9.6,4.1,4.5,Cafe,5,High,23,18.88,Long,Low,12,44.7,Normal,47
8,Friday,0,0,Cloudy,Suburban,Suburban,Electric Scooter,5.9,4.4,4.8,Biryani,3,High,38,12.79,Long,Low,2,30.8,Priority,65
20,Friday,0,0,Clear,Residential,Residential,Scooter,1.6,3.5,4.2,North Indian,1,Low,23,13.74,Long,Low,6,34.5,Normal,43
17,Tuesday,0,0,Clear,CBD,Residential,Electric Scooter,7.6,4.4,4.3,Biryani,2,Medium,32,33.42,Long,Low,15,32.3,Normal,103
13,Wednesday,0,0,Storm,CBD,Commercial,Bike,8.2,4.3,5.0,Biryani,1,Low,30,36.02,Long,Moderate,16,25.3,Normal,124
11,Wednesday,0,0,Cloudy,Residential,Residential,Scooter,2.6,4.0,3.4,Biryani,2,Low,31,21.85,Long,Low,7,33.8,Normal,72
22,Tuesday,0,0,Cloudy,Suburban,Commercial,Scooter,3.6,3.8,4.2,Bakery,2,Low,7,40.23,Long,Low,5,34.2,Normal,82
13,Thursday,0,0,Cloudy,CBD,Suburban,Bike,6.3,4.5,3.8,Pizza,1,Medium,27,22.74,Long,Low,17,43.3,Normal,67
15,Wednesday,0,0,Cloudy,Industrial,Residential,Bike,3.1,3.9,4.3,Desserts,1,High,12,43.02,Long,Low,8,42.0,Priority,77
23,Saturday,1,0,Clear,Commercial,Industrial,Electric Scooter,5.1,4.1,4.2,Burger,6,Low,21,22.08,Long,Low,11,31.5,Normal,68
22,Tuesday,0,0,Rain,CBD,Residential,Bike,6.9,4.2,3.8,Burger,1,Medium,14,25.21,Long,Moderate,14,30.2,Normal,73
